LOCAL HEALTH UNIT,OPERATION NAME,CITY,STATE,ZIP,MUNICIPALITY,COUNTY,VENDOR TYPE,CREATION DATE,LOCATION,LAT,LONG,ADDRESS
CLINTON,GRAND UNION,PERU,NY,12972.0,PERU,CLINTON,GROCERY SUPERMARKET,07/10/2023,"2 GORMAN WAY PERU, NY 12972 (44.577028232, -73.525724408)",44.577028232,-73.525724408,"2 GORMAN WAY PERU, NY 12972 "
DUTCHESS,CHESTNUT MARTS,WASSAIC,NY,12592.0,AMENIA,DUTCHESS,CONVENIENCE/GAS,07/10/2023,"3997 ROUTE 22 WASSAIC, NY 12592 (41.790814801, -73.553360632)",41.790814801,-73.553360632,"3997 ROUTE 22 WASSAIC, NY 12592 "
NYC,2918 GAS CORP,BRONX,NY,10469.0,BRONX,NEW YORK CITY,OTHER,07/10/2023,"2918 BOSTON ROAD BRONX, NY 10469 (40.868058834, -73.858776062)",40.868058834,-73.858776062,"2918 BOSTON ROAD BRONX, NY 10469 "
NYC,MAHANT 385 INC,NEW YORK,NY,10013.0,MANHATTAN,NEW YORK CITY,TOBACCO RETAIL,07/10/2023,"385 CANAL STREET NEW YORK, NY 10013 (40.721667889, -74.004767693)",40.721667889,-74.004767693,"385 CANAL STREET NEW YORK, NY 10013 "
NYC,SHISHA KING CORP,BROOKLYN,NY,11207.0,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"656 SUTTER AVENUE BROOKLYN, NY 11207 (40.669383086, -73.894472157)",40.669383086,-73.894472157,"656 SUTTER AVENUE BROOKLYN, NY 11207 "
NYC,TUNI'S SERVICE CORP,BROOKLYN,NY,11215.0,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"306 18TH STREET BROOKLYN, NY 11215 (40.661722613, -73.989687559)",40.661722613,-73.989687559,"306 18TH STREET BROOKLYN, NY 11215 "
NYC,"VISHWA NEWS, INC.",BROOKLYN,NY,11201.0,BROOKLYN,NEW YORK CITY,STAND,07/10/2023,"17 BOND STREET BROOKLYN, NY 11201 (40.689173136, -73.983153782)",40.689173136,-73.983153782,"17 BOND STREET BROOKLYN, NY 11201 "
PUTNAM,76 GAS,CARMEL,NY,10512.0,KENT,PUTNAM,GAS STATION,07/10/2023,"2 TOWNERS ROAD CARMEL, NY 10512 (41.449989058, -73.671833805)",41.449989058,-73.671833805,"2 TOWNERS ROAD CARMEL, NY 10512 "
SUFFOLK,MOBIL,PATCHOGUE,NY,117.0,BROOKHAVEN,SUFFOLK,GAS STATION,07/10/2023,"451 W MAIN ST PATCHOGUE, NY 117 (40.760975695, -73.029896708)",40.760975695,-73.029896708,"451 W MAIN ST PATCHOGUE, NY 117 "
SUFFOLK,THE WHALE BONE,,NY,,SOUTHAMPTON,SUFFOLK,OTHER,07/10/2023,"3495 NOYAC RD, NY (40.995954451, -72.339820222)",40.995954451,-72.339820222,"3495 NOYAC RD, NY "
ULSTER,Z'ZZZ SMOKE SHOP,KINGSTON,NY,12401.0,KINGSTON,ULSTER,CONVENIENCE STORE,07/10/2023,"587 BROADWAY KINGSTON, NY 12401 (41.92920407200006, -74.00372315099997)",41.92920407200006,-74.00372315099997,"587 BROADWAY KINGSTON, NY 12401 "
SUFFOLK,AGUA EXPRESS LAUNDRO MINI MARKET,HUNTINGTON STATION,NY,11746.0,HUNTINGTON,SUFFOLK,OTHER,07/10/2023,"207 LOWNDES AVENUE HUNTINGTON STATION, NY 11746 (40.853191894, -73.413799849)",40.853191894,-73.413799849,"207 LOWNDES AVENUE HUNTINGTON STATION, NY 11746 "
ERIE,MOBIL MART (LHP FOOD MART),BLASDELL,NY,14219.0,HAMBURG,ERIE,CONVENIENCE/GAS,07/10/2023,"3932 SOUTH PARK  AVENUE BLASDELL, NY 14219 (42.790346864, -78.823283687)",42.790346864,-78.823283687,"3932 SOUTH PARK  AVENUE BLASDELL, NY 14219 "
NYC,JAMAST HOLDING CORP,FLUSHING,NY,11358.0,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"161-17 29TH AVENUE FLUSHING, NY 11358 (40.771400067, -73.802775896)",40.771400067,-73.802775896,"161-17 29TH AVENUE FLUSHING, NY 11358 "
BROOME,QUICKWAY #30,KIRKWOOD,NY,13795.0,KIRKWOOD,BROOME,CONVENIENCE/GAS,07/10/2023,"1724 US 11 ROUTE KIRKWOOD, NY 13795 (42.039035722, -75.794293323)",42.039035722,-75.794293323,"1724 US 11 ROUTE KIRKWOOD, NY 13795 "
SCHOHARIE,CLOUDS NINE SMOKE SHOP,COBLESKIL,NY,12043.0,COBLESKILL,SCHOHARIE,TOBACCO RETAIL,07/10/2023,"795 EAST MAIN  STREET COBLESKIL, NY 12043 (42.680633242, -74.473966851)",42.680633242,-74.473966851,"795 EAST MAIN  STREET COBLESKIL, NY 12043 "
WESTCHESTER,QUICK STOP OF SHRUB OAK INC.,SHRUB OAK,NY,10588.0,YORKTOWN,WESTCHESTER,CONVENIENCE/GAS,07/10/2023,"930 EAST MAIN STREET SHRUB OAK, NY 10588 (41.331308182, -73.821623779)",41.331308182,-73.821623779,"930 EAST MAIN STREET SHRUB OAK, NY 10588 "
WESTCHESTER,NEPPERHAN GROCERY & DELI INC.,YONKERS,NY,10701.0,YONKERS,WESTCHESTER,DELICATESSEN,07/10/2023,"217 ASHBURTON  AVENUE YONKERS, NY 10701 (40.939342687, -73.886859964)",40.939342687,-73.886859964,"217 ASHBURTON  AVENUE YONKERS, NY 10701 "
CAYUGA,TOPS MARKETS #504 FUEL KIOSK,AUBURN,NY,13021.0,AUBURN,CAYUGA,GAS STATION,07/10/2023,"352 WEST GENESEE STREET AUBURN, NY 13021 (42.918785784, -76.590434535)",42.918785784,-76.590434535,"352 WEST GENESEE STREET AUBURN, NY 13021 "
45,MORNING LINE,SARATOGA SPRINGS,NY,12866.0,SARATOGA SPGS.,SARATOGA,RESTAURANT/ATUPA,07/10/2023,"267 UNION AVENUE SARATOGA SPRINGS, NY 12866 (43.074055679, -73.764355264)",43.074055679,-73.764355264,"267 UNION AVENUE SARATOGA SPRINGS, NY 12866 "
NYC,"SEASONED,LLC",NEW YORK,NY,10018.0,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"480 7 AVENUE NEW YORK, NY 10018 (40.752272648, -73.989930383)",40.752272648,-73.989930383,"480 7 AVENUE NEW YORK, NY 10018 "
WESTCHESTER,JOHN A. HANNA & SONS INC.,BRONXVILLE,NY,10708.0,EASTCHESTER,WESTCHESTER,GAS STATION,07/10/2023,"497 NEW ROCHELLE ROAD BRONXVILLE, NY 10708 (40.929235956, -73.809224094)",40.929235956,-73.809224094,"497 NEW ROCHELLE ROAD BRONXVILLE, NY 10708 "
WESTCHESTER,ALL FRESH FOOD CORP.,YONKERS,NY,10701.0,YONKERS,WESTCHESTER,GROCERY SUPERMARKET,07/10/2023,"55 PALISADE AVENUE YONKERS, NY 10701 (40.935031288, -73.895033241)",40.935031288,-73.895033241,"55 PALISADE AVENUE YONKERS, NY 10701 "
NYC,"181 GERMAN DELI, INC.",NEW YORK,NY,10033.0,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"815 WEST 181TH AVENUE NEW YORK, NY 10033 (40.851206682, -73.938833379)",40.851206682,-73.938833379,"815 WEST 181TH AVENUE NEW YORK, NY 10033 "
NYC,60 ST SMOKE SHOP,BROOKLYN,NY,11220.0,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"480 60TH STREET BROOKLYN, NY 11220 (40.639525322, -74.016474194)",40.639525322,-74.016474194,"480 60TH STREET BROOKLYN, NY 11220 "
NYC,DELI GRILL VAPE AND CONVENIENCES INC,BROOKLYN,NY,11226.0,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1510 CORTELYOU ROAD BROOKLYN, NY 11226 (40.64119881, -73.964131639)",40.64119881,-73.964131639,"1510 CORTELYOU ROAD BROOKLYN, NY 11226 "
NYC,37 SMOKE SHOP INC,MANHATTAN,NY,10018.0,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"357 WEST 37TH STREET MANHATTAN, NY 10018 (40.755252331, -73.99456063)",40.755252331,-73.99456063,"357 WEST 37TH STREET MANHATTAN, NY 10018 "
