STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME_x,LSAD,ALAND,AWATER,geometry,NAME_y,pov_level_estimate,med_inc_estimate,pov_level_moe,med_inc_moe,census_tract,counts
36,081,046200,1400000US36081046200,36081046200,462,CT,249611,0,"POLYGON ((-73.792029 40.711068999999995, -73.79101399999999 40.711433, -73.790215 40.711717, -73.789012 40.712073, -73.787847 40.711811, -73.786575 40.711971999999996, -73.785353 40.712284, -73.78445599999999 40.710373, -73.785305 40.710063, -73.78429 40.707930999999995, -73.785562 40.707936, -73.787719 40.707661, -73.78804 40.707571, -73.78957 40.707222, -73.78975 40.707170999999995, -73.79065299999999 40.708726, -73.791144 40.709565999999995, -73.7916 40.710344, -73.792029 40.711068999999995))","Census Tract 462, Queens County, New York",5788,54489,1025,10010,36081046200,9
36,081,048100,1400000US36081048100,36081048100,481,CT,139052,0,"POLYGON ((-73.887986 40.743548, -73.886208 40.743775, -73.88509499999999 40.743974, -73.88471 40.743794, -73.88387399999999 40.7434, -73.882633 40.742787, -73.88188 40.742377, -73.88100399999999 40.741841, -73.882943 40.74161, -73.882829 40.740992, -73.884615 40.740432999999996, -73.88572599999999 40.741288999999995, -73.887511 40.741082999999996, -73.887986 40.743548))","Census Tract 481, Queens County, New York",6775,64091,1304,14963,36081048100,5
36,081,049600,1400000US36081049600,36081049600,496,CT,273116,0,"POLYGON ((-73.757257 40.718139, -73.75233399999999 40.720262, -73.75138299999999 40.718987999999996, -73.750255 40.717479, -73.749831 40.716612999999995, -73.74934499999999 40.715145, -73.754037 40.713879999999996, -73.754701 40.71471, -73.755889 40.716299, -73.757257 40.718139))","Census Tract 496, Queens County, New York",3451,93209,521,19640,36081049600,2
36,005,040400,1400000US36005040400,36005040400,404,CT,215289,0,"POLYGON ((-73.854323 40.886682, -73.85315299999999 40.8888, -73.85027099999999 40.887881, -73.847444 40.886978, -73.849278 40.884242, -73.849735 40.883555, -73.85237099999999 40.884398, -73.855104 40.885270999999996, -73.854323 40.886682))","Census Tract 404, Bronx County, New York",3264,92431,786,19401,36005040400,6
36,005,040800,1400000US36005040800,36005040800,408,CT,124014,0,"POLYGON ((-73.863863 40.88975, -73.862652 40.891822, -73.86178799999999 40.891549999999995, -73.85991 40.890948, -73.858908 40.890632, -73.859684 40.889223, -73.860081 40.888511, -73.860452 40.887803999999996, -73.86333599999999 40.88872, -73.863728 40.888017, -73.86460000000001 40.8883, -73.863863 40.88975))","Census Tract 408, Bronx County, New York",4976,34341,867,8936,36005040800,1
36,005,041800,1400000US36005041800,36005041800,418,CT,268871,0,"POLYGON ((-73.862875 40.895154, -73.861113 40.897588999999996, -73.859258 40.900338, -73.858626 40.900135999999996, -73.85699699999999 40.899504, -73.854299 40.89845, -73.855249 40.897251999999995, -73.85616 40.895596999999995, -73.856561 40.894873, -73.856956 40.894168, -73.85983399999999 40.895085, -73.860711 40.895371, -73.86135999999999 40.894663, -73.862875 40.895154))","Census Tract 418, Bronx County, New York",3718,67986,804,12619,36005041800,3
36,005,042901,1400000US36005042901,36005042901,429.01,CT,102256,0,"POLYGON ((-73.87751399999999 40.874139, -73.876491 40.875499, -73.875592 40.875254, -73.8747 40.875001999999995, -73.87369199999999 40.876352, -73.87211599999999 40.876961, -73.871605 40.876922, -73.872553 40.875175, -73.87436699999999 40.872701, -73.874938 40.872959, -73.875885 40.873411, -73.876684 40.873792, -73.87751399999999 40.874139))","Census Tract 429.01, Bronx County, New York",3248,38833,482,14786,36005042901,1
36,047,020600,1400000US36047020600,36047020600,206,CT,170942,0,"POLYGON ((-74.018879 40.624303, -74.01797599999999 40.624787999999995, -74.016487 40.625775, -74.013572 40.627728, -74.011665 40.626574, -74.012245 40.626016, -74.013409 40.624896, -74.014033 40.624294, -74.016406 40.622014, -74.019075 40.623615, -74.018879 40.624303))","Census Tract 206, Kings County, New York",2691,95114,410,35323,36047020600,1
36,047,021900,1400000US36047021900,36047021900,219,CT,147047,0,"POLYGON ((-73.95733899999999 40.672413999999996, -73.957021 40.673294, -73.95670299999999 40.674171, -73.953999 40.673632, -73.95293699999999 40.673570999999995, -73.953019 40.672681, -73.953187 40.670898, -73.95327 40.670007, -73.955269 40.670125, -73.957974 40.670657, -73.95733899999999 40.672413999999996))","Census Tract 219, Kings County, New York",3882,104423,736,43837,36047021900,2
36,047,022900,1400000US36047022900,36047022900,229,CT,171832,0,"POLYGON ((-73.95956799999999 40.686682999999995, -73.956841 40.686996, -73.954684 40.687245, -73.954538 40.686512, -73.954393 40.68578, -73.954246 40.685047, -73.953954 40.683581, -73.95611199999999 40.683333, -73.95884099999999 40.683018, -73.959276 40.685217, -73.95956799999999 40.686682999999995))","Census Tract 229, Kings County, New York",4067,122989,645,23305,36047022900,1
