GEOID,NAME,pov_level_estimate,med_inc_estimate,pov_level_moe,med_inc_moe,census_tract,counts
36081014700,"Census Tract 147, Queens County, New York",2862,71815,513,18034,36081014700,7
36047058400,"Census Tract 584, Kings County, New York",3655,67315,529,10294,36047058400,2
36047055700,"Census Tract 557, Kings County, New York",1834,107410,324,37032,36047055700,2
36005022101,"Census Tract 221.01, Bronx County, New York",3974,37200,830,15878,36005022101,2
36081047000,"Census Tract 470, Queens County, New York",3635,50000,673,36794,36081047000,1
36047050402,"Census Tract 504.02, Kings County, New York",1758,134602,719,71643,36047050402,5
36047028501,"Census Tract 285.01, Kings County, New York",344,50278,99,15242,36047028501,6
36081017901,"Census Tract 179.01, Queens County, New York",1114,61681,165,17183,36081017901,2
36047033900,"Census Tract 339, Kings County, New York",4687,51950,580,25442,36047033900,2
36047055000,"Census Tract 550, Kings County, New York",3768,67391,455,11998,36047055000,3
36081047900,"Census Tract 479, Queens County, New York",5821,68179,966,8403,36081047900,3
36005020100,"Census Tract 201, Bronx County, New York",3748,38235,632,9643,36005020100,4
36047059200,"Census Tract 592, Kings County, New York",4190,71167,785,26973,36047059200,3
36005006400,"Census Tract 64, Bronx County, New York",4008,35144,554,12605,36005006400,2
36047023800,"Census Tract 238, Kings County, New York",4563,39196,884,13201,36047023800,1
36081018300,"Census Tract 183, Queens County, New York",5613,80529,745,12063,36081018300,7
36047016900,"Census Tract 169, Kings County, New York",5221,112419,842,13532,36047016900,4
36005030000,"Census Tract 300, Bronx County, New York",6520,72568,943,12968,36005030000,6
36081083700,"Census Tract 837, Queens County, New York",5518,56356,786,11165,36081083700,1
36081137700,"Census Tract 1377, Queens County, New York",7824,90238,1034,17005,36081137700,1
36081046902,"Census Tract 469.02, Queens County, New York",4194,69417,544,28947,36081046902,2
36061026900,"Census Tract 269, New York County, New York",9288,60619,1469,8905,36061026900,2
36047025901,"Census Tract 259.01, Kings County, New York",2077,62734,233,42460,36047025901,3
36005007600,"Census Tract 76, Bronx County, New York",5264,51625,793,16248,36005007600,7
36005034500,"Census Tract 345, Bronx County, New York",3540,109167,621,27613,36005034500,1
36061013203,"Census Tract 132.03, New York County, New York",4452,110642,1098,56334,36061013203,1
36047025100,"Census Tract 251, Kings County, New York",4032,46947,581,24674,36047025100,7
36061009100,"Census Tract 91, New York County, New York",6656,148859,813,50521,36061009100,2
36047025200,"Census Tract 252, Kings County, New York",5501,49815,760,13543,36047025200,4
36047029900,"Census Tract 299, Kings County, New York",2217,54719,634,24066,36047029900,5
36047097000,"Census Tract 970, Kings County, New York",2696,77895,522,50548,36047097000,1
36047035101,"Census Tract 351.01, Kings County, New York",2565,39489,808,21666,36047035101,6
36005018501,"Census Tract 185.01, Bronx County, New York",3069,47826,713,21371,36005018501,5
36081144700,"Census Tract 1447, Queens County, New York",3387,80469,637,19527,36081144700,1
