GEOID,NAME,geometry,population_estimate,pov_level_estimate,med_inc_estimate,population_moe,pov_level_moe,med_inc_moe,census_tract,counts
36081014700,"Census Tract 147, Queens County, New York","list(list(c(-73.913701, -73.912103, -73.911305, -73.910505, -73.908908, -73.90651, -73.907794, -73.909391, -73.910192, -73.911799, -73.912599, -73.913397, -73.914992, -73.913701, 40.76548, 40.76473, 40.764354, 40.763979, 40.763229, 40.762109, 40.760518, 40.761264, 40.761638, 40.76239, 40.762766, 40.76314, 40.763892, 40.76548)))",2863,2862,71815,513,513,18034,36081014700,7
36047058400,"Census Tract 584, Kings County, New York","list(list(c(-73.961028, -73.959777, -73.95878, -73.957853, -73.956928, -73.956556, -73.956077, -73.957003, -73.96068, -73.960845, -73.961028, 40.596161, 40.596299, 40.596407, 40.596511, 40.596612, 40.594648, 40.592101, 40.592002, 40.591598, 40.593743, 40.596161)))",3655,3655,67315,529,529,10294,36047058400,2
36047055700,"Census Tract 557, Kings County, New York","list(list(c(-73.962787, -73.962645, -73.961543, -73.961611, -73.95892, -73.957717, -73.956273, -73.954776, -73.955443, -73.958416, -73.959009, -73.96355, -73.962787, 40.722562, 40.722747, 40.723876, 40.724951, 40.724351, 40.724298, 40.72339, 40.72246, 40.721946, 40.719189, 40.718636, 40.721571, 40.722562)))",1834,1834,107410,324,324,37032,36047055700,2
36005022101,"Census Tract 221.01, Bronx County, New York","list(list(c(-73.920125, -73.919696, -73.918592, -73.917683, -73.916783, -73.91594, -73.916429, -73.916917, -73.917383, -73.917848, -73.918412, -73.920479, -73.920125, 40.837588, 40.837872, 40.838982, 40.840225, 40.839881, 40.839552, 40.838948, 40.838336, 40.837745, 40.837156, 40.83644, 40.83714, 40.837588)))",4030,3974,37200,832,830,15878,36005022101,2
36081047000,"Census Tract 470, Queens County, New York","list(list(c(-73.780589, -73.778001, -73.777123, -73.775374, -73.7745, -73.773139, -73.774892, -73.776055, -73.778676, -73.779048, -73.779855, -73.780589, 40.713428, 40.714051, 40.714262, 40.711678, 40.711946, 40.709923, 40.709419, 40.709105, 40.708779, 40.70871, 40.711178, 40.713428)))",3637,3635,50000,673,673,36794,36081047000,1
36047050402,"Census Tract 504.02, Kings County, New York","list(list(c(-73.974959, -73.973504, -73.971397, -73.971211, -73.970841, -73.971744, -73.972086, -73.973101, -73.974657, -73.974827, -73.975176, -73.974959, 40.647796, 40.647595, 40.648258, 40.64762, 40.646378, 40.646001, 40.645863, 40.645451, 40.644806, 40.645664, 40.647818, 40.647796)))",1758,1758,134602,719,719,71643,36047050402,5
36047028501,"Census Tract 285.01, Kings County, New York","list(list(c(-73.944388, -73.941931, -73.941149, -73.938902, -73.938568, -73.94115, -73.943949, -73.944096, -73.944388, 40.700425, 40.700725, 40.700281, 40.699037, 40.698848, 40.698541, 40.698222, 40.698973, 40.700425)))",356,344,50278,100,99,15242,36047028501,6
36081017901,"Census Tract 179.01, Queens County, New York","list(list(c(-73.927444, -73.926353, -73.925467, -73.92451, -73.924845, -73.925158, -73.925588, -73.92655, -73.927444, 40.742123, 40.747551, 40.747432, 40.747321, 40.745653, 40.744058, 40.741908, 40.74202, 40.742123)))",1122,1114,61681,167,165,17183,36081017901,2
36047033900,"Census Tract 339, Kings County, New York","list(list(c(-73.94748, -73.94471, -73.941945, -73.939177, -73.936406, -73.93649, -73.936569, -73.939337, -73.942106, -73.944872, -73.947642, -73.94748, 40.67238, 40.672228, 40.672078, 40.671926, 40.671774, 40.670886, 40.670041, 40.670192, 40.670342, 40.670504, 40.670664, 40.67238)))",4720,4687,51950,582,580,25442,36047033900,2
36047055000,"Census Tract 550, Kings County, New York","list(list(c(-73.954796, -73.952577, -73.950706, -73.950299, -73.949837, -73.950764, -73.952724, -73.953922, -73.954389, -73.954796, 40.61082, 40.611037, 40.61125, 40.609125, 40.606667, 40.606565, 40.606349, 40.606217, 40.608675, 40.61082)))",3773,3768,67391,453,455,11998,36047055000,3
